meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,snapshot_label,target_date,selected_timestamp,selected_datetime_utc,selected_date,probability,realized_outcome_0_1,brier_score,absolute_error,source_endpoint_type,source_endpoint,raw_file_path,data_status,notes
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,T-3,2026-01-25,1769385040,2026-01-25T23:50:40Z,2026-01-25,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,T-1,2026-01-27,1769558363,2026-01-27T23:59:23Z,2026-01-27,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140726Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,final_available,2026-01-28,1769638714,2026-01-28T22:18:34Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140726Z_trades_11862165566757345985240476164489718219056735011698825377388402888080786399275_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,T-3,2026-01-25,1769385080,2026-01-25T23:51:20Z,2026-01-25,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140729Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,T-1,2026-01-27,1769558199,2026-01-27T23:56:39Z,2026-01-27,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,final_available,2026-01-28,1769639078,2026-01-28T22:24:38Z,2026-01-28,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140728Z_trades_71478852790279095447182996049071040792010759617668969799049179229104800573786_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,No,other,T-1,2026-01-27,1769558391,2026-01-27T23:59:51Z,2026-01-27,0.996999999980056,0,0.9940089999602316,0.996999999980056,trades_fallback,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_48193521645113703700467246669338225849301704920590102230072263970163239985027_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,No,other,final_available,2026-01-28,1769639904,2026-01-28T22:38:24Z,2026-01-28,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_48193521645113703700467246669338225849301704920590102230072263970163239985027_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,T-1,2026-01-27,1769558307,2026-01-27T23:58:27Z,2026-01-27,0.004,0,1.6e-05,0.004,trades_fallback,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=3000,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140731Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_3000.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,final_available,2026-01-28,1769638778,2026-01-28T22:19:38Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140729Z_trades_92703761682322480664976766247614127878023988651992837287050266308961660624165_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
