date,meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,token_id,last_probability,mean_probability,min_probability,max_probability,number_of_observations,days_to_meeting,source_endpoint_type
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,5678441977631356096576643767219853506662704132397324700379875824610338420737,0.001,0.001,0.001,0.001,119,364,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 50+ bps after March 2025 meeting?,Yes,50_plus_bps_cut,59500043981638253528854819796350757181716737470693576068597643626706510223839,0.001,0.00147627280239785,0.001,0.006462032776098088,302,364,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,74384045717921713926851299648820414700024667426425261397803198704608838497339,0.999,0.999,0.999,0.999,9,364,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,No change in Fed interest rates after March 2025 meeting?,No,other,84404545665642736163147199311465812729929064435437776471057885230010324444001,0.001,0.008198455839415272,0.001,0.011000000110000002,525,364,trades_fallback
2025-03-19,2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed decreases interest rates by 25 bps after March 2025 meeting?,Yes,25_bps_cut,89116530978908711797607850110372348932106298082008228479003610418450546304140,0.001,0.007971000433880854,0.001,0.012637119849574885,564,364,trades_fallback
2025-12-06,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,111653286751222233434552489231342053782305860121514128195211070982702807638967,0.002,0.0018974358974358976,0.001,0.002,312,4,trades_fallback
2025-12-06,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,83234538869110488222137558986831878044545184788704562505964003874631215840521,0.999,0.9988848857644991,0.998,0.999,1138,4,trades_fallback
2025-12-07,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,111653286751222233434552489231342053782305860121514128195211070982702807638967,0.001,0.0017407407407407408,0.001,0.002,243,3,trades_fallback
2025-12-07,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,83234538869110488222137558986831878044545184788704562505964003874631215840521,0.999,0.9988224793464646,0.998,0.999,1121,3,trades_fallback
2025-12-08,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,111653286751222233434552489231342053782305860121514128195211070982702807638967,0.001,0.001,0.001,0.001,216,2,trades_fallback
2025-12-08,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,83234538869110488222137558986831878044545184788704562505964003874631215840521,0.999,0.999,0.999,0.999,77,2,trades_fallback
2025-12-09,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,111653286751222233434552489231342053782305860121514128195211070982702807638967,0.001,0.001,0.001,0.001,212,1,trades_fallback
2025-12-09,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,Yes,no_change,80746058984644290629624903019922696017323803605256698757445938534814122585786,0.026,0.027995281470537373,0.024,0.032,235,1,trades_fallback
2025-12-09,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,83234538869110488222137558986831878044545184788704562505964003874631215840521,0.999,0.999,0.999,0.999,36,1,trades_fallback
2025-12-09,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,No,other,85970682092909806158465981896969493051954703765750954325716965011253694472992,0.9739990435310263,0.9734821520721836,0.97,0.976,273,1,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,Yes,25_plus_bps_hike,111653286751222233434552489231342053782305860121514128195211070982702807638967,0.001,0.0010016933451527108,0.001,0.002,611,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 25 bps after December 2025 meeting?,No,other,13411284055273560855537595688801764123705139415061660246624128667183605973730,0.001,0.029582065487841685,0.001,0.04,1288,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 50+ bps after December 2025 meeting?,No,other,21489772516410038586556744342392982044189999368638682594741395650226594484811,0.999,0.9962870820346129,0.994,0.999,1740,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 50+ bps after December 2025 meeting?,Yes,50_plus_bps_cut,74018646712472971445258547247048869505144598783748525202442089895996249694683,0.001,0.004118287524343165,0.001,0.01499044122535634,2260,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,Yes,no_change,80746058984644290629624903019922696017323803605256698757445938534814122585786,0.001,0.026841983990067046,0.001,0.051999975975999084,2739,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed increases interest rates by 25+ bps after December 2025 meeting?,No,other,83234538869110488222137558986831878044545184788704562505964003874631215840521,0.999,0.999,0.999,0.999,34,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,No change in Fed interest rates after December 2025 meeting?,No,other,85970682092909806158465981896969493051954703765750954325716965011253694472992,0.999,0.9739317385419721,0.962,0.999,753,0,trades_fallback
2025-12-10,2025-12,2025-12-10,fed-decision-in-december,Fed decision in December?,Fed decreases interest rates by 25 bps after December 2025 meeting?,Yes,25_bps_cut,87769991026114894163580777793845523168226980076553814689875238288185044414090,0.999,0.9767823729871978,0.961,0.999,2712,0,trades_fallback
2026-01-23,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,113,5,trades_fallback
2026-01-23,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.999,0.999,1,5,trades_fallback
2026-01-24,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,426,4,trades_fallback
2026-01-24,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.999,0.999,12,4,trades_fallback
2026-01-25,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001346177179700767,0.001,0.002,214,3,trades_fallback
2026-01-25,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.001,0.001,0.001,121,3,trades_fallback
2026-01-25,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.999,0.999,0.999,50,3,trades_fallback
2026-01-25,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.9988465116279069,0.998,0.999,215,3,trades_fallback
2026-01-26,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.0021725630158892935,0.001,0.029631896197910724,403,2,trades_fallback
2026-01-26,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.002,0.001525833366525158,0.001,0.003000000003,293,2,trades_fallback
2026-01-26,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.9988083831501648,0.998,0.999000000999,167,2,trades_fallback
2026-01-26,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.9987634933795237,0.997,0.999000000999,1200,2,trades_fallback
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001577863031367675,0.001,0.07818829773412671,561,1,trades_fallback
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.002,0.0017953045389828006,0.001,0.0038756552217114764,730,1,trades_fallback
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.9986019575855988,0.997,0.999,572,1,trades_fallback
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,No,other,48193521645113703700467246669338225849301704920590102230072263970163239985027,0.996999999980056,0.9968923075785728,0.996,0.997,65,1,trades_fallback
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.9986376019081472,0.996,0.999000000999,819,1,trades_fallback
2026-01-27,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,92703761682322480664976766247614127878023988651992837287050266308961660624165,0.004,0.003902439024390244,0.003,0.004,164,1,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,No change in Fed interest rates after January 2026 meeting?,Yes,no_change,112838095111461683880944516726938163688341306245473734071798778736646352193304,0.999,0.9962246479101948,0.993,0.999,3124,0,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,Yes,50_plus_bps_cut,11862165566757345985240476164489718219056735011698825377388402888080786399275,0.001,0.001,0.001,0.001,487,0,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,Yes,25_plus_bps_hike,16419649354067298412736919830777830730026677464626899811394461690794060330642,0.001,0.0013883076724391422,0.001,0.002,915,0,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed increases interest rates by 25+ bps after January 2026 meeting?,No,other,42139849929574046088630785796780813725435914859433767469767950066058132350666,0.999,0.9988099999541076,0.998,0.999,600,0,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,No,other,48193521645113703700467246669338225849301704920590102230072263970163239985027,0.999,0.997608848621341,0.995,0.999,1880,0,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 50+ bps after January 2026 meeting?,No,other,71478852790279095447182996049071040792010759617668969799049179229104800573786,0.999,0.999,0.999,0.999,101,0,trades_fallback
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,No change in Fed interest rates after January 2026 meeting?,No,other,7321318078891059430231591636389479745928915782241484131001985601124919020061,0.001,0.004364224490449099,0.001,0.0070000000126,876,0,trades_fallback
